scenario,time,pair,Q_real,Q_imag,R,delta
echo,0.6,BC,0.0019389323001634063,-0.007598641924032916,0.007842118180331613,-1.3209593575545837
echo,0.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.7000000000000001,AB,0.9701004993691428,-0.003048554162274957,0.9701052894190096,-0.003142503409794882
echo,0.7000000000000001,BC,0.001920520310649979,-0.007697386714340752,0.007933357454049867,-1.3262855768198218
echo,0.7000000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.8,AB,0.9611334277156213,-0.003407561700377208,0.9611394682090219,-0.003545342743306177
echo,0.8,BC,0.0019099106507695432,-0.00781694202926925,0.008046883954853519,-1.3311615498304181
echo,0.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,0.9,AB,0.9510742381746381,-0.003737496890276582,0.9510815818858407,-0.0039297433375842005
echo,0.9,BC,0.001905418351286243,-0.007957503577027358,0.008182449649818908,-1.3357721552115727
echo,0.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.0,AB,0.939960324542306,-0.004035650633221275,0.9399689878872125,-0.004293400190470282
echo,1.0,BC,0.0019053807261666432,-0.00811915093013418,0.008339729464313939,-1.3402901640114038
echo,1.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.1,AB,0.927832668567249,-0.00429961623143086,0.9278426308164333,-0.0046340095583283294
echo,1.1,BC,0.0019081693935211527,-0.008301835433748506,0.00851830863513486,-1.344871263039275
echo,1.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.2,AB,0.9147355857988968,-0.004527310180578402,0.9147467892615541,-0.004949269805291957
echo,1.2,BC,0.001912201018992728,-0.008505368703781133,0.00871767225377832,-1.349650528633731
echo,1.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.3,AB,0.9007164529404916,-0.004716989313977087,0.9007288041280178,-0.005236882458905819
echo,1.3,BC,0.0019159467428923643,-0.008729411946548419,0.008937196699980488,-1.3547403857588323
echo,1.3,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.4000000000000001,AB,0.8858254189695727,-0.004867264121482306,0.8858387907247273,-0.005494553482053825
echo,1.4000000000000001,BC,0.0019179402757563834,-0.008973466327803669,0.009176142590304205,-1.3602299678325451
echo,1.4000000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.5,AB,0.8701151024070297,-0.004977108113179968,0.8701293369620209,-0.0057199947666555844
echo,1.5,BC,0.0019167846696191196,-0.009236864611338488,0.009433648886718446,-1.3661856999571653
echo,1.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.6,AB,0.8536402772106784,-0.00504586314645433,0.8536551901155505,-0.005910925849148185
echo,1.6,BC,0.001911157793811227,-0.009518764276027877,0.009708727900988362,-1.372652868718559
echo,1.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.7,AB,0.8364575498399205,-0.005073240684389695,0.836472934681837,-0.006065075841059369
echo,1.7,BC,0.0018998165641871088,-0.009818142305307441,0.010000261061833706,-1.379657915721037
echo,1.7,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.8,AB,0.8186250300838779,-0.0050593190030259125,0.8186406638987611,-0.006180185559800452
echo,1.8,BC,0.0018815999930626515,-0.0101337918247798,0.01030699545366482,-1.3872111950004031
echo,1.8,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,1.9000000000000001,AB,0.8002019982661781,-0.005004536414122825,0.8002176475271617,-0.006254009834917472
echo,1.9000000000000001,BC,0.0018554311435462893,-0.010464320742166331,0.010627541264251765,-1.3953099590984175
echo,1.9000000000000001,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.0,AB,0.7812485714353159,-0.004909680618165548,0.7812639984880234,-0.006284319953163357
echo,2.0,BC,0.0018203180861498607,-0.010808152519416591,0.010960370377762582,-1.4039413767621094
echo,2.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.1,AB,0.7618253711205254,-0.004775874348748739,0.761840340923688,-0.006268906191590985
echo,2.1,BC,0.0017753539673863736,-0.011163529179776158,0.011303816411160801,-1.4130854295024724
echo,2.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.2,AB,0.7419931951798902,-0.004604557513624493,0.7420074822016007,-0.00620558037108653
echo,2.2,BC,0.0017197163093580856,-0.01152851662335228,0.011656076514830452,-1.422717578700279
echo,2.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.3000000000000003,AB,0.7218126961908198,-0.004397466079027896,0.7218260913060547,-0.006092178343006614
echo,2.3000000000000003,BC,0.0016526656660122369,-0.01190101229360378,0.012015215246350103,-1.4328111355082263
echo,2.3000000000000003,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.4,AB,0.7013440687340629,-0.004156607981887232,0.701356385968193,-0.005926562298466094
echo,2.4,BC,0.0015735437657391047,-0.01227875520464659,0.012379170786378712,-1.4433393001219406
echo,2.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.5,AB,0.6806467478023992,-0.0038842363887084813,0.6806578307683724,-0.005706622762935854
echo,2.5,BC,0.0014817712713004775,-0.01265933830576832,0.012745763705653128,-1.4542768641315347
echo,2.5,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.6,AB,0.6597791204255437,-0.0035828206498739047,0.6597888483093005,-0.005430280107719416
echo,2.6,BC,0.001376845286740959,-0.013040223125561575,0.013112708420004301,-1.4656015896767876
echo,2.6,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.7,AB,0.6387982524452983,-0.0032550153234462203,0.6388065454047281,-0.005095485374131985
echo,2.7,BC,0.0012583367370309802,-0.01341875660411056,0.013477627392984366,-1.477295292696307
echo,2.7,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.8000000000000003,AB,0.617759632201482,-0.0029036276630196645,0.617766456058692,-0.004700220165340434
echo,2.8000000000000003,BC,0.0011258877398401266,-0.013792189988196396,0.013838068068672998,-1.489344665691474
echo,2.8000000000000003,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,2.9,AB,0.5967169327016446,-0.002531583979467554,0.5967223028262846,-0.0042424953143606085
echo,2.9,BC,0.0009792090802038973,-0.014157699632023827,0.014191522444521636,-1.5017418792295147
echo,2.9,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.0,AB,0.5757217936482159,-0.0021418952964338735,0.5757257779507357,-0.0037203479841694987
echo,3.0,BC,0.000818077888125096,-0.014512409515005674,0.0145354491283299,-1.514485001955089
echo,3.0,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.1,AB,0.5548236244877691,-0.0017376227240025873,0.5548263454653861,-0.003131836796788391
echo,3.1,BC,0.0006423356065735036,-0.01485341525914712,0.014867297666090388,-1.527578277110214
echo,3.1,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.2,AB,0.5340694294308413,-0.0013218429741253504,0.5340710652351732,-0.0024750345220461655
echo,3.2,BC,0.00045188632317525596,-0.01517780940200368,0.015184534879034792,-1.5410322902585458
echo,3.2,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.3000000000000003,AB,0.5135036551696085,-0.0008976144351389628,0.5135044396928057,-0.0017480177830519967
echo,3.3000000000000003,BC,0.00024669552340192543,-0.015482707657467454,0.015484672908649633,-1.5548640586795004
echo,3.3000000000000003,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.4,AB,0.49316806179706885,-0.00046794421117199794,0.49316828380225575,-0.0009488531536963237
echo,3.4,BC,2.6789306583748125e-05,-0.015765275876155095,0.01576529863714053,-1.5690970681831438
echo,3.4,AC,0.0023068607595171844,-0.007420739743457589,0.007771034995670217,-1.2694001524290475
echo,3.5,AB,0.4731016172076178,-3.575651560882654e-05,0.4731016185588375,-7.557893323592785e-05
