theta,c,C_AB,C_AC,C_BC,three_tangle,S_fixed,S_twirl,D_C
0.890117918517108,0.6293203910498375,0.6293203910498377,0.0,0.0,0.6039558454088789,2.363086248608899,2.3042069944737147,0.7771459614569708
0.916297857297023,0.6087614290087207,0.6087614290087203,0.0,0.0,0.6294095225512606,2.341444406727385,2.2751322315268534,0.7933533402912352
0.9424777960769379,0.5877852522924731,0.5877852522924732,0.0,0.0,0.6545084971874733,2.319906466056359,2.2454674379280015,0.8090169943749475
0.9686577348568528,0.5664062369248329,0.5664062369248327,0.0,0.0,0.6791839747726498,2.298535207672355,2.2152329444449026,0.8241261886220156
0.9948376736367678,0.5446390350150271,0.544639035015027,0.0,0.0,0.7033683215378996,2.277394720694767,2.184449472289141,0.8386705679454239
1.0210176124166828,0.5224985647159489,0.5224985647159488,0.0,0.0,0.726995249869773,2.2565502432963696,2.153138118914866,0.8526401643540922
1.0471975511965976,0.5000000000000001,0.5,0.0,0.0,0.7499999999999998,2.2360679774997894,2.1213203435596424,0.8660254037844386
1.0733774899765125,0.47715876025960857,0.4771587602596087,0.0,0.0,0.772319517507513,2.2160148758458154,2.0890179525373656,0.8788171126619653
1.0995574287564276,0.45399049973954686,0.45399049973954675,0.0,0.0,0.7938926261462363,2.196458398289176,2.056253084293301,0.8910065241883678
1.1257373675363425,0.43051109680829525,0.4305110968082951,0.0,0.0,0.8146601955249185,2.1774662380621024,2.023048194231502,0.9025852843498605
1.1519173063162573,0.4067366430758004,0.4067366430758003,0.0,0.0,0.8345653031794288,2.1591060157579762,1.9894260393249967,0.9135454576426009
1.1780972450961724,0.38268343236508984,0.3826834323650898,0.0,0.0,0.8535533905932733,2.1414449415352483,1.9554096625192912,0.9238795325112867
1.2042771838760873,0.3583679495453004,0.35836794954530016,0.0,0.0,0.871572412738697,2.124549446128569,1.9210223769398957,0.9335804264972017
1.2304571226560022,0.3338068592337711,0.3338068592337709,0.0,0.0,0.888572980728485,2.10848478227519,1.8862877499146606,0.9426414910921783
1.2566370614359172,0.30901699437494745,0.30901699437494723,0.0,0.0,0.9045084971874734,2.0933145992062694,1.8512295868219155,0.9510565162951535
1.2828170002158321,0.28401534470392276,0.28401534470392253,0.0,0.0,0.9193352839727118,2.079100493989925,1.815871914775452,0.958819734868193
1.308996938995747,0.25881904510252096,0.2588190451025207,0.0,0.0,0.933012701892219,2.0659015447090217,1.7802389661575337,0.9659258262890682
1.335176877775662,0.23344536385590547,0.23344536385590525,0.0,0.0,0.9455032620941838,2.0537738316628884,1.7443551620112387,0.9723699203976766
1.361356816555577,0.20791169081775945,0.20791169081775934,0.0,0.0,0.9567727288212998,2.042769953938719,1.7082450953034916,0.9781476007338056
1.3875367553354918,0.18223552549214767,0.18223552549214744,0.0,0.0,0.9667902132486005,2.032938549736709,1.6719335140702773,0.9832549075639545
1.413716694115407,0.15643446504023092,0.15643446504023095,0.0,0.0,0.9755282581475765,2.0243238296798496,1.6354453044555692,0.9876883405951378
1.4398966328953218,0.1305261922200517,0.13052619222005174,0.0,0.0,0.9829629131445337,2.016965132921703,1.5988054736556094,0.9914448613738104
1.4660765716752366,0.10452846326765368,0.10452846326765375,0.0,0.0,0.9890738003669025,2.0108965161172234,1.562039132780229,0.9945218953682733
1.4922565104551517,0.078459095727845,0.07845909572784499,0.0,0.0,0.9938441702975684,2.0061463851897057,1.5251714796429419,0.996917333733128
1.5184364492350666,0.052335956242943966,0.052335956242944015,0.0,0.0,0.9972609476841362,2.0027371792782627,1.488227781491631,0.9986295347545738
1.5446163880149815,0.02617694830787336,0.026176948307873427,0.0,0.0,0.9993147673772863,2.000685115276977,1.4512333576916288,0.9996573249755573
1.5707963267948966,6.123233995736766e-17,0.0,0.0,0.0,0.9999999999999996,1.9999999999999996,1.4142135623730947,1.0
