delta,E_AB,stderr_E,E_c_theory,E_singlet,E_local_branch,E_populations,E_coherence,P_pp,P_pm,P_mp,P_mm,P_A_plus,P_B_plus
0.34906585039886595,-0.93946,0.0007662078973751184,-0.9396926207859083,-0.9396926207859083,-0.47263,-0.4703473512967298,-0.4693452694891786,0.015375,0.48531,0.48442,0.014895,0.500685,0.499795
0.43633231299858233,-0.90515,0.0009505353162823566,-0.9063077870366499,-0.9063077870366499,-0.45116,-0.45271167490346154,-0.45359611213318846,0.023725,0.476765,0.47581,0.0237,0.50049,0.499535
0.5235987755982987,-0.86529,0.0011208773704112327,-0.8660254037844387,-0.8660254037844387,-0.43652,-0.43281563404972695,-0.43320976973471176,0.03401,0.46565,0.466995,0.033345,0.49966,0.501005
0.6108652381980151,-0.81922,0.0012823388623916848,-0.8191520442889919,-0.8191520442889919,-0.41223,-0.40853164973947403,-0.4106203945495179,0.04513,0.4559,0.45371,0.04526,0.50103,0.49884
0.6981317007977319,-0.76798,0.0014321430089205478,-0.766044443118978,-0.766044443118978,-0.37962,-0.38232306915600434,-0.38372137396297373,0.05742,0.44088,0.44311,0.05859,0.4983,0.50053
0.7853981633974483,-0.70827,0.0015785335078800197,-0.7071067811865476,-0.7071067811865476,-0.35802,-0.35312059797632234,-0.3539861832102251,0.07214,0.42705,0.427085,0.073725,0.49919,0.499225
0.8726646259971647,-0.64438,0.0017099333548416442,-0.6427876096865395,-0.6427876096865395,-0.31676,-0.32191984356601244,-0.32086776612052703,0.088885,0.413095,0.409095,0.088925,0.50198,0.49798
0.959931088596881,-0.57327,0.0018321592549502897,-0.5735764363510463,-0.5735764363510463,-0.29,-0.28518452659857624,-0.28839190975247003,0.10624,0.394645,0.39199,0.107125,0.500885,0.49823
1.0471975511965974,-0.50048,0.0019358715990478294,-0.5000000000000003,-0.5000000000000003,-0.24576,-0.2509948803190664,-0.2490051196809339,0.12468,0.37534,0.3749,0.12508,0.50002,0.49958
1.1344640137963138,-0.42321,0.00202594829141812,-0.42261826174069983,-0.42261826174069983,-0.21198,-0.21156776702289762,-0.2110504947178022,0.14437,0.35511,0.356495,0.144025,0.49948,0.500865
1.2217304763960302,-0.34172,0.0021014607319671716,-0.34202014332566927,-0.34202014332566927,-0.16731,-0.16978034493981778,-0.17223979838585146,0.16484,0.334605,0.336255,0.1643,0.499445,0.501095
